,,,,,,,,,,,,
,Pixiesmith competitor analysis,,,,,,,,,,,
,,,,,,,,,,,,
,Brand,Category,Target Audience,Tagline,Personality,Positioning,Value proposition,Visual identity,Sustainability ethos,Marketing strategies,Online/Retail,Price Point
,Kidsuper,Artistic streetwear,"Young, creative, and fashion-forward individuals, particularly Gen Z and Millennials who appreciate streetwear and art-inspired fashion.","""Where Art Meets Fashion.""","Playful, artistic, experimental, youthful.","Positioned as an art-infused, boundary-pushing streetwear brand with a strong emphasis on creative storytelling.","Combines art, fashion, and street culture into unique, hand-drawn, and innovative designs.","Bright, hand-drawn elements, playful graphics, and bold colors.",Incorporates upcycled materials in some collections but not widely known for sustainability efforts.,"Strong emphasis on storytelling, collaborations with artists, and engaging social media content.",Primarily online with select retail collaborations.,$100 - $500
,Off-White,Luxury streetwear,"High-fashion and streetwear enthusiasts, typically aged 18-35, with an interest in luxury and exclusivity.","""Defining the Grey Area Between Black and White.""","Trendsetter, innovative, luxury-streetwear hybrid.","A bridge between high fashion and streetwear, often collaborating with major luxury and sportswear brands.",Delivers luxury streetwear with high-fashion craftsmanship and limited-edition exclusivity.,"Industrial aesthetics, quotation marks, diagonal stripes, and deconstructed elements.",": Some sustainability initiatives, such as using eco-friendly materials, but still heavily reliant on luxury manufacturing.","Heavy influencer and celebrity collaborations, luxury brand partnerships, and high-fashion runway presence.","Both online and retail stores worldwide, with flagship locations in major cities.","$300 - $1,500"
,Bullbenny,Bold and graphic streetwear,"Trend-conscious, younger consumers who are drawn to bold, graphic-heavy streetwear styles.","""Fearless Expression in Every Thread.""","Bold, vibrant, rebellious, urban.","Positioned as a high-energy, graphic-focused streetwear brand appealing to younger audiences who want statement pieces.","Offers vibrant, graphic-driven apparel that allows for self-expression and bold fashion choices.","Loud prints, neon highlights, and oversized silhouettes.","Limited emphasis on sustainability, mainly focused on design aesthetics.","Social media-driven, viral marketing, and collaborations with underground artists.",Mostly online with pop-up store activations.,$50 - $300
,Derschutze,Dark and avant-garde,"Edgy, urban youth and streetwear lovers who prefer darker, avant-garde aesthetics.","""Armor for the Modern Rebel.""",": Dark, mysterious, edgy, avant-garde.","Niche, alternative streetwear brand catering to those who prefer a darker, gothic, and futuristic aesthetic.",Provides a unique mix of streetwear and dystopian aesthetics with high-quality materials and intricate detailing.,"Dark color palettes, gothic typography, and futuristic elements.","Small-batch production to minimize waste, but not a strong focus on sustainability.","Niche community engagement, limited-edition drops, and alternative fashion events.",Limited online availability and niche retail stockists.,$150 - $700
,Stussy,Classic streetwear,"OG streetwear fans, skaters, urban youth",The Original Streetwear Brand,"Cool, effortless, timeless","One of the pioneers of streetwear, blending surf, skate, and hip hop","Authentic, heritage-driven, strong cultural legacy","Handwritten logo, bold patters, relaxed fits, ","Not a primary focus, incorporates some organic materials","Community driven, nostalgic re-releases, limited collabs",Hybrid,$50-$250
,Supreme,Hype streetwear,"Hypebeasts, sneakerheads, resellers",World Famous,"Exclusive, rebellious, ironic","The king of hype culture, known for exclusivity and scarcity.",Limited-edition drops that command high resale value.,"Box logo, clean minimal branding, occasional bold graphics.",Minimal sustainability efforts; driven by hype cycles.,"Scarcity, influencer seeding, collabs with luxury brands.",Both: Online drops and physical flagship stores.,$40 - $800
,BAPE,Japanese streetwear,"Sneakerheads, collectors, streetwear lovers",A Bathing Ape in Lukewarm Water,"Bold, playful, maximalist",Japanese luxury streetwear with strong graphic-heavy designs.,Highly recognizable camo and ape-head branding with collectible appeal.,"Bright camo, oversized branding, cartoonish graphics.",Minimal sustainability messaging.,"Collabs with hip-hop artists, global sneaker culture.",Both: Online and flagship stores.,$80 - $900
,Palace,British streetwear,"Skaters, hip-hop fans, UK urban culture",Tri-Ferg Forever,"Playful, ironic, underground","UK’s answer to Supreme, merging skateboarding culture with limited drops.",Skate-inspired streetwear with a cult following.,"Triangle logo, sporty retro aesthetics.",No explicit sustainability efforts.,"Limited drops, niche humor, viral campaigns.",Both: Online and select retail stores.,$50 - $500
,Golf Wang,Creative streetwear,"Young creatives, Tyler, the Creator fans, alternative fashion enthusiasts",Express Yourself,"Colorful, eccentric, fun","A whimsical, offbeat take on streetwear inspired by youth culture.","Vibrant, non-conforming designs that encourage self-expression.","Pastels, bright color blocking, playful graphics.","Not a focus, but some conscious material use.","Influencer-led, creative collaborations, music-culture driven.",Online store with occasional pop-ups.,$80 - $400
,Amiri,Luxury streetwear,"High-net-worth individuals, musicians, Hollywood elite",Luxury Meets Rebellion,"Rockstar, exclusive, edgy",High-end streetwear with a punk-glam aesthetic.,"Handcrafted, distressed denim and premium materials.","Skinny jeans, leather, bold accessories.",Limited sustainability efforts; focused on craftsmanship.,"Celebrity endorsements, high-profile editorials.",Luxury boutiques & online.,"$700 - $4,000"
,Aime Leon Dore,Elevated streetwear,"Fashion-conscious millennials, creative professionals","Timeless, Not Trendy","Refined, cultured, nostalgic",Blends vintage Americana and New York streetwear with elevated tailoring.,Classic streetwear reinterpreted with premium materials and craftsmanship.,"Muted tones, classic branding, retro influences.",Focuses on quality and longevity rather than trend-driven fast fashion.,"Cinematic campaigns, storytelling, and premium collaborations.",Online & flagship boutique.,$200 - $900
,Dime,Skate-Driven Streetwear,"Skaters, alternative fashion fans",Montreal’s Finest,"Laid-back, humorous, authentic",A skate brand that evolved into a streetwear label with a cult following.,Authentic skate brand with high-quality apparel and a fun personality.,"Minimalist logo branding, vintage athletic wear influences.","Not a focus, but high-quality materials for longevity.","Organic skate culture integration, limited collabs.",Online & select skate shops.,$80 - $400
,Six5Six,Indian streetwear,"Indian youth, streetwear enthusiasts",Streetwear for the New India,"Cultural, bold, modern",Blends Western streetwear aesthetics with Indian heritage.,Culturally rooted streetwear that bridges global and local trends.,"Graphic-heavy, sportswear-inspired, modern.","Limited focus, but slow fashion over mass production.","Regional influencer marketing, cultural storytelling.",Online store.,$50 - $250
,Jaywalking,Avant-Garde streetwear,"Experimental fashion enthusiasts, creatives",Walk Your Own Path,"Fearless, unconventional, artistic",A boundary-pushing streetwear label redefining silhouettes and proportions.,Innovative designs that challenge conventional streetwear norms.,"Asymmetry, experimental layering, exaggerated proportions.",Promotes slow fashion with a focus on artistry.,"High-fashion editorials, underground influencer marketing.","Limited online releases, occasional pop-ups.","$300 - $1,200"
,Cactus Plant Flea Market,Conceptual streetwear,"Hype-driven fashion collectors, celebrities",Where Chaos Meets Creativity,"Playful, surreal, elusive","A mysterious, experimental brand blending DIY aesthetics with high fashion.","Limited-edition, hand-crafted designs with an unpredictable creative approach.","Bright colors, wonky typography, 3D textures.","Not a primary focus, but slow production cycles reduce waste.","Secretive drops, celebrity placements, ultra-limited exclusivity.",Online only.,"$150 - $1,500"
,Human Made,Japanese heritage streetwear,"Nigo fans, Japanese streetwear collectors",The Future is in the Past,"Nostalgic, premium, cultural",Vintage Americana meets Japanese craftsmanship.,"Premium fabrics, attention to detail, and retro aesthetics.","Hand-drawn logos, vintage-inspired graphics.",Focus on longevity and craftsmanship.,"Nostalgia-driven storytelling, high-profile collabs.",Flagship stores & online.,$200 - $900
,Neighborhood,Japanese moto-influenced Streetwear,"Motorcycle culture enthusiasts, streetwear collectors",Craft With Pride,"Rugged, rebellious, high-quality",Streetwear rooted in military and motorcycle aesthetics.,"Heavy-duty materials, functional streetwear with a rebellious edge.","Dark color palettes, military references, minimalist branding.","Promotes quality over quantity, built-to-last products.","Cult following, influencer styling, limited runs.",Online & boutiques.,$150 - $700
,Fucking Awesome,Raw skate streetwear,"Skaters, counterculture fans","No Rules, No Limits","Anarchic, rebellious, underground",A skate brand that thrives on controversy and DIY culture.,"Streetwear that embodies raw, underground skate culture.","Graphic-heavy, punk-inspired, grungy.",No sustainability claims.,"Skater endorsements, viral anti-establishment campaigns.","Online, skate boutiques.",$60 - $300
,Drippn Monkey,Emerging hype streetwear,"Hype-driven Gen Z, TikTok fashion audience",Drip Harder,"Flashy, trend-chasing, digital-first",Social media-native streetwear brand focused on hype culture.,Fast-moving designs that align with viral fashion trends.,"Loud graphics, statement prints, neon aesthetics.",No sustainability initiatives.,"TikTok-driven, influencer-heavy, drops based on online hype.",Online only.,$50 - $250